iter	Passed	Remaining
0	61	24612
1	114	22827
2	161	21323
3	202	20041
4	269	21304
5	337	22138
6	474	26622
7	617	30253
8	750	32626
9	951	37113
10	1109	39236
11	1315	42544
12	1407	41901
13	1590	43861
14	1732	44472
15	1856	44567
16	2009	45277
17	2064	43817
18	2098	42080
19	2129	40460
20	2160	38985
21	2189	37621
22	2219	36379
23	2253	35310
24	2295	34431
25	2415	34742
26	2492	34440
27	2556	33960
28	2601	33284
29	2647	32648
30	2692	32053
31	2737	31481
32	2780	30919
33	2825	30419
34	2879	30033
35	2927	29601
36	2973	29175
37	3009	28665
38	3041	28156
39	3073	27661
40	3110	27239
41	3146	26818
42	3171	26331
43	3196	25864
44	3223	25431
45	3249	25005
46	3276	24610
47	3309	24266
48	3376	24187
49	3412	23888
50	3441	23548
51	3466	23200
52	3483	22810
53	3513	22510
54	3542	22222
55	3569	21929
56	3595	21636
57	3651	21533
58	3699	21379
59	3731	21145
60	3761	20904
61	3787	20648
62	3813	20399
63	3839	20155
64	3867	19932
65	3892	19696
66	3917	19471
67	3932	19201
68	3959	18994
69	4026	18983
70	4059	18809
71	4087	18620
72	4111	18418
73	4136	18221
74	4160	18030
75	4185	17844
76	4213	17673
77	4239	17499
78	4263	17324
79	4288	17152
80	4312	16984
81	4338	16823
82	4362	16662
83	4387	16504
84	4411	16350
85	4435	16194
86	4460	16046
87	4485	15901
88	4509	15757
89	4535	15622
90	4560	15484
91	4584	15347
92	4609	15217
93	4632	15079
94	4656	14949
95	4679	14818
96	4702	14688
97	4725	14561
98	4749	14439
99	4772	14318
100	4795	14195
101	4818	14076
102	4840	13958
103	4863	13842
104	4886	13727
105	4908	13615
106	4932	13506
107	4955	13397
108	4978	13291
109	5007	13200
110	5029	13094
111	5052	12992
112	5074	12889
113	5097	12789
114	5120	12689
115	5144	12596
116	5168	12501
117	5192	12409
118	5218	12322
119	5242	12231
120	5265	12141
121	5289	12053
122	5316	11973
123	5342	11891
124	5368	11810
125	5440	11830
126	5469	11758
127	5498	11684
128	5524	11605
129	5551	11530
130	5577	11453
131	5601	11373
132	5627	11296
133	5653	11221
134	5678	11146
135	5702	11069
136	5724	10989
137	5748	10913
138	5771	10836
139	5794	10761
140	5818	10687
141	5843	10616
142	5865	10541
143	5888	10468
144	5911	10395
145	5934	10324
146	5957	10254
147	5982	10185
148	6005	10116
149	6032	10054
150	6054	9984
151	6077	9915
152	6100	9848
153	6124	9783
154	6173	9758
155	6268	9804
156	6346	9822
157	6418	9831
158	6501	9853
159	6574	9861
160	6654	9878
161	6732	9890
162	6766	9837
163	6791	9772
164	6816	9707
165	6841	9643
166	6865	9579
167	6891	9517
168	6916	9454
169	6939	9389
170	6962	9324
171	6986	9261
172	7009	9197
173	7034	9136
174	7058	9075
175	7083	9015
176	7106	8953
177	7128	8890
178	7151	8830
179	7178	8773
180	7201	8713
181	7225	8654
182	7247	8594
183	7269	8534
184	7292	8475
185	7315	8416
186	7338	8358
187	7361	8301
188	7385	8244
189	7409	8189
190	7433	8134
191	7462	8084
192	7626	8179
193	7729	8207
194	7808	8209
195	7892	8214
196	7923	8164
197	8006	8168
198	8086	8168
199	8118	8118
200	8191	8110
201	8225	8062
202	8253	8009
203	8277	7952
204	8299	7894
205	8322	7837
206	8346	7781
207	8369	7725
208	8392	7669
209	8416	7615
210	8442	7562
211	8469	7511
212	8496	7459
213	8526	7410
214	8554	7360
215	8625	7347
216	8662	7305
217	8689	7254
218	8714	7202
219	8737	7148
220	8762	7097
221	8785	7044
222	8808	6991
223	8831	6939
224	8854	6886
225	8876	6833
226	8900	6783
227	8923	6731
228	8945	6679
229	8969	6629
230	8995	6581
231	9019	6531
